RouteID,Direction,Trip,AgencyID,Latitude,Longitude
804,1,9,STCP,41.1642,-8.54045
209,0,11,STCP,41.1746,-8.63684
602,0,17,Veniam,41.1832,-8.61967
602,0,6,Veniam,41.2544,-8.65348
704,1,6,STCP,41.1692,-8.64269
907,0,5,STCP,41.1223,-8.61225
803,0,21,STCP,41.1696,-8.64223
902,0,21,STCP,41.131,-8.66937
500,0,11,Veniam,41.1814,-8.65948
500,1,17,Veniam,41.1726,-8.62892
604,1,6,STCP,41.1832,-8.6001
200,1,12,STCP,41.1692,-8.64298
600,1,11,STCP,41.1694,-8.64269
205,0,8,Veniam,41.1804,-8.62243
903,1,8,STCP,41.1615,-8.62982
200,1,8,Veniam,41.1492,-8.6253
305,1,6,Veniam,41.2037,-8.59211
600,1,5,STCP,41.1487,-8.61066
700,1,7,STCP,41.1828,-8.52818
106,0,22,Veniam,41.0816,-8.64932
204,0,5,Veniam,41.1522,-8.6775
501,1,6,STCP,41.1704,-8.65721
906,1,4,Veniam,41.1481,-8.60814
302,0,9,STCP,41.1484,-8.61383
906,1,5,Veniam,41.1447,-8.61196
701,0,22,STCP,41.1839,-8.61987
501,0,6,STCP,41.179,-8.67583
704,1,4,STCP,41.1615,-8.62998
301,0,15,Veniam,41.1825,-8.61946
503,1,6,STCP,41.2055,-8.66619
209,0,22,Veniam,41.1696,-8.64246
700,0,7,Veniam,41.1917,-8.52172
604,0,6,STCP,41.1955,-8.60468
507,1,7,STCP,41.1961,-8.6839
602,0,4,STCP,41.1822,-8.62012
301,0,0,STCP,41.1735,-8.58699
401,0,0,Veniam,41.1672,-8.56783
701,1,8,Veniam,41.1837,-8.58255
706,0,4,Veniam,41.2203,-8.55684
401,0,0,Veniam,41.1823,-8.62064
401,0,7,Veniam,41.1514,-8.60311
39,0,2,STCP,41.1823,-8.6194
201,0,5,STCP,41.1599,-8.64019
200,1,6,STCP,41.1738,-8.68904
204,0,6,STCP,41.1821,-8.59752
806,0,9,Veniam,41.1598,-8.55544
202,0,0,Veniam,41.1692,-8.64242
603,1,8,STCP,41.1819,-8.61941
301,0,15,STCP,41.1686,-8.64199
600,1,7,Veniam,41.1635,-8.61101
300,0,5,STCP,41.1465,-8.59758
600,0,5,STCP,41.1634,-8.61102
501,1,6,Veniam,41.1455,-8.61559
205,0,6,Veniam,41.1683,-8.68909
803,1,9,Veniam,41.1558,-8.62972
200,1,7,STCP,41.155,-8.60923
904,1,8,Veniam,41.1422,-8.60196
200,0,4,Veniam,41.1695,-8.64207
903,1,7,Veniam,41.1285,-8.62895
920,0,15,Veniam,41.1115,-8.60976
400,0,26,STCP,41.1823,-8.62031
305,0,27,Veniam,41.1815,-8.62028
501,0,6,Veniam,41.1489,-8.62522
400,0,19,STCP,41.1837,-8.61929
201,0,9,Veniam,41.1483,-8.61841
506,0,7,STCP,41.1937,-8.60864
700,0,14,Veniam,41.1824,-8.62193
502,0,8,STCP,41.1697,-8.64224
901,0,7,STCP,41.1412,-8.61076
806,0,0,Veniam,41.1824,-8.61907
601,1,17,Veniam,41.1706,-8.6404
200,0,8,STCP,41.1735,-8.68828
200,1,2,Veniam,41.1536,-8.6067
905,0,7,Veniam,41.1831,-8.62108
906,0,14,Veniam,41.1839,-8.61881
702,1,9,Veniam,41.1659,-8.59724
400,1,8,Veniam,41.1473,-8.60692
500,0,8,STCP,41.1842,-8.69454
201,1,20,STCP,41.1834,-8.61887
305,0,9,Veniam,41.1484,-8.61358
603,0,9,STCP,41.1786,-8.6092
401,1,12,Veniam,41.1521,-8.60692
400,1,20,STCP,41.1482,-8.61084
700,1,6,STCP,41.149,-8.60777
502,1,6,STCP,41.1675,-8.68719
801,1,14,STCP,41.1665,-8.56646
207,0,5,Veniam,41.1466,-8.59523
903,1,6,STCP,41.122,-8.61097
702,0,29,STCP,41.1824,-8.62196
701,0,7,STCP,41.2418,-8.52517
106,1,0,STCP,41.0987,-8.63173
500,1,2,Veniam,41.1447,-8.61073
508,0,4,STCP,41.2106,-8.68586
806,1,9,STCP,41.1839,-8.61986
403,0,9,Veniam,41.1696,-8.64227
304,0,11,Veniam,41.163,-8.61106
702,0,22,STCP,41.1816,-8.62034
705,0,8,STCP,41.1895,-8.60198
704,1,4,STCP,41.1647,-8.63158
907,0,11,STCP,41.161,-8.62825
701,0,8,Veniam,41.1618,-8.60405
901,1,5,Veniam,41.1822,-8.62096
902,0,7,STCP,41.1319,-8.66851
804,1,8,Veniam,41.1818,-8.62014
205,1,5,STCP,41.1808,-8.62138
604,1,18,Veniam,41.1835,-8.61931
600,1,5,STCP,41.1691,-8.64288
702,0,5,STCP,41.1838,-8.62028
601,1,7,STCP,41.1461,-8.61535
500,1,8,Veniam,41.1457,-8.61054
701,1,6,Veniam,41.183,-8.62068
200,0,0,STCP,41.1691,-8.64129
704,0,5,STCP,41.2322,-8.53779
901,1,7,Veniam,41.1192,-8.63458
704,0,9,STCP,41.2415,-8.52582
205,1,7,STCP,41.1835,-8.60223
704,1,4,STCP,41.1612,-8.62979
901,1,19,STCP,41.1824,-8.62091
99,0,2,STCP,41.1823,-8.6202
906,1,2,STCP,41.1109,-8.6316
202,1,17,STCP,41.159,-8.63021
603,0,6,Veniam,41.1662,-8.60643
205,1,16,Veniam,41.1823,-8.62092
800,0,8,STCP,41.1366,-8.53083
602,0,21,Veniam,41.1836,-8.61952
504,1,7,STCP,41.1507,-8.66252
903,1,4,STCP,41.1284,-8.62741
209,1,8,STCP,41.1732,-8.63339
704,1,10,STCP,41.1613,-8.62983
206,1,9,Veniam,41.1737,-8.64248
401,0,19,Veniam,41.1667,-8.56804
200,1,12,Veniam,41.1696,-8.64222
200,0,8,STCP,41.1473,-8.61493
800,1,8,Veniam,41.1525,-8.53056
300,0,6,Veniam,41.1838,-8.6011
505,0,6,Veniam,41.2006,-8.65065
704,1,4,STCP,41.1613,-8.62962
804,0,7,Veniam,41.1615,-8.53394
200,1,1,STCP,41.1688,-8.6419
305,1,8,STCP,41.1482,-8.60824
205,0,12,Veniam,41.1816,-8.62074
906,1,0,STCP,41.1117,-8.65401
704,1,0,Veniam,41.1572,-8.62814
704,1,4,Veniam,41.1622,-8.6298
206,0,8,STCP,41.1674,-8.61507
400,0,7,STCP,41.1759,-8.56563
803,1,11,Veniam,41.1558,-8.62876
506,1,6,STCP,41.1951,-8.60531
803,0,20,Veniam,41.1727,-8.54844
106,1,22,STCP,41.0988,-8.62878
702,0,22,Veniam,41.1821,-8.62204
205,1,10,STCP,41.1818,-8.62035
402,1,9,STCP,41.1618,-8.60378
99,1,0,STCP,41.1838,-8.62029
603,0,15,STCP,41.1836,-8.62043
704,0,12,Veniam,41.1688,-8.64128
201,0,22,Veniam,41.1821,-8.62055
202,1,25,Veniam,41.1694,-8.64244
506,0,6,Veniam,41.1802,-8.68188
503,0,17,STCP,41.1692,-8.64274
903,0,5,STCP,41.1301,-8.63135
907,1,7,STCP,41.1197,-8.62429
202,0,21,Veniam,41.1657,-8.65872
209,0,7,Veniam,41.1734,-8.63823
506,1,5,STCP,41.18,-8.66785
906,1,8,Veniam,41.1587,-8.60828
508,0,10,STCP,41.1966,-8.63989
700,0,9,STCP,41.1824,-8.62091
500,0,8,STCP,41.1698,-8.64226
305,0,8,Veniam,41.1487,-8.59865
99,0,14,Veniam,41.1829,-8.61944
701,1,6,STCP,41.1613,-8.60474
205,1,12,STCP,41.184,-8.61954
700,1,6,Veniam,41.1828,-8.52788
503,1,7,STCP,41.1526,-8.63238
904,0,10,Veniam,41.1376,-8.60494
301,0,0,Veniam,41.1693,-8.64271
901,1,0,Veniam,41.1359,-8.61835
206,0,27,Veniam,41.1782,-8.64244
602,1,7,STCP,41.1581,-8.62262
